fixed code:/home/apr/CodeSearchAndMatch2/Defects4J/fixed_bugs_dir/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-421-427
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-280-284
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-548-551
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/AcrossJVMSerializationFeature.java-238-242
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/SpyAnnotationEngine.java-79-79
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/SpyAnnotationEngine.java-109-109
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/ClassPathLoader.java-77-77
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/MockUtil.java-60-60
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-278-278
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-383-385
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-412-414
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/AcrossJVMSerializationFeature.java-128-132
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/MockitoAnnotations.java-130-131
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/SpyAnnotationEngine.java-70-70
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/injection/SpyOnInjectedFieldsHandler.java-51-51
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/DefaultAnnotationEngine.java-73-74
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-88-88
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-191-191
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-193-193
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-266-266
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-268-268
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-775-781
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/AcrossJVMSerializationFeature.java-244-248
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-309-309
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-667-673
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-644-648
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-516-523
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/ClassImposterizer.java-65-73
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-51-54
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-555-559
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-58-60
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-542-544
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-563-565
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-692-694
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-785-791
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/runners/RunnerFactory.java-34-39
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/Whitebox.java-18-18
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/Whitebox.java-29-29
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/CGLIBHacker.java-25-26
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/instance/ConstructorInstantiator.java-35-35
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/SpyAnnotationEngine.java-96-98
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/CaptorAnnotationProcessor.java-21-23
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/Checks.java-15-15
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/GenericMetadataSupport.java-408-408
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/GenericMetadataSupport.java-423-423
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/Whitebox.java-40-43
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldReader.java-31-31
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/BeanPropertySetter.java-94-94
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-795-795
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/runners/util/RunnerProvider.java-35-35
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/runners/util/RunnerProvider.java-43-43
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/stubbing/defaultanswers/ForwardsInvocations.java-49-49
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-355-355
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-406-406
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-273-276
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/plugins/PluginLoader.java-54-54
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/plugins/PluginLoader.java-66-67
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/plugins/PluginFinder.java-34-34
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/ClassPathLoader.java-79-79
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/io/IOUtil.java-24-24
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/io/IOUtil.java-39-39
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/io/IOUtil.java-67-67
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldSetter.java-25-25
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldSetter.java-27-28
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/FieldInitializer.java-262-262
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/BeanPropertySetter.java-62-62
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/reflection/BeanPropertySetter.java-64-64
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-569-576
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-681-688
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-440-446
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/invocation/SerializableMethod.java-67-67
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/invocation/SerializableMethod.java-72-72
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/instance/ConstructorInstantiator.java-33-33
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/runners/RunnerFactory.java-43-50
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/configuration/plugins/PluginLoader.java-35-37
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-328-328
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/MockitoAnnotations.java-91-91
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/matchers/apachecommons/EqualsBuilder.java-302-302
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/verification/AtLeast.java-28-28
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/verification/AtMost.java-26-26
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/verification/Calls.java-25-25
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/verification/Calls.java-31-31
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/verification/Times.java-28-28
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/collections/Sets.java-29-29
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/MockUtil.java-53-53
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-653-653
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-657-657
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-759-759
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/AcrossJVMSerializationFeature.java-345-350
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-705-714
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/ClassImposterizer.java-135-140
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-151-155
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-128-135
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/util/collections/HashCodeAndEqualsSafeSet.java-79-79
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-610-617
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/internal/creation/cglib/ClassImposterizer.java-130-133
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-599-601
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-605-606
similar code:/home/apr/CodeSearchAndMatch2/Defects4J/Mockito/Mockito_4/src/org/mockito/exceptions/Reporter.java-763-771
